ADRES,NAZWA,TYP,ROZMIAR,LICZBA,FORMULA,FORMULA1,OPIS,OPIS1,SLOWNIK,REGWYM,WYMOG,UWAGI,POLECENIE,POLECENIE1,WYST,DT_DOD
JPK_ST_1\2.Podmiot1\OsobaNiefizyczna\,.,,,,empty(ctod(DK->DATA_UR)),,Dane identyfikuj¥ce podmiot - nieb©d¥cy osob¥ fizyczn¥,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\2.Podmiot1\OsobaNiefizyczna\1.NIP\,.,Z,10,,trim(DK->NIPBK),,Identyfikator podatkowy NIP,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\2.Podmiot1\OsobaNiefizyczna\2.PelnaNazwa\,.,Z,,,"trim(DK->NAZWA)+"" ""+trim(DK->NAZWA_CD)",,Peˆna nazwa podmiotu (max 240 znak¢w),,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\2.Podmiot1\OsobaNiefizyczna\3.Email\,.,Z,,,"iif(!empty(DK->E_MAIL),trim(DK->E_MAIL),.F.)",,"Email (min 3 znaki, max 255 znak¢w, musi zawiera† znak ""@)"") (pole opcjonalne)",,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\2.Podmiot1\OsobaNiefizyczna\4.Telefon\,.,Z,20,,"iif(!empty(DK->TEL),trim(DK->TEL),.F.)",,Telefon kontaktowy (max 16 znak¢w) (pole opcjonalne),,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\2.Podmiot1\ZnacznikST\,,Z,1,,"iif(VG('RE'), 1, 2)",,"Znacznik rodzaju prowadzonej ewidencji/wykazu ˜rodk¢w trwaˆych oraz warto˜ci niematerialnych i prawnych: - 1 - wykaz ˜rodk¢w trwaˆych oraz warto˜ci niematerialnych i prawnych dla podmiot¢w prowadz¥cych ewidencj© przychod¢w EWP, - 2 - ewidencja ˜rodk¢w trwaˆych oraz warto˜ci niematerialnych i prawnych dla podmiot¢w prowadz¥cych podatkow¥ ksi©g© przychod¢w i rozchod¢w PKPIR",,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\3.EWP\,,,,,VG('RE'),,Wiersze wykazu ˜rodk¢w trwaˆych oraz warto˜ci niematerialnych i prawnych dla podmiot¢w prowadz¥cych ewidencj© przychod¢w,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\,.,,0,999,".F. .and. left(KD->DATA,4)==VG('okr').and. iif(VP('num',VG('num')+1)<>0 .and. KP->(dbseek(vp('kpid',KD->NR_DOK+str(VG('num'), 2)))), KPK->(dbseek(KP->KAT_KP)) .or. .T., VP('num',0)==0.and.KD->(dbskip(1)) .or. .T.) ",".and. progress(""Ksi©ga"", 999, vg('Lp'))",,,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\01.F_1\,.,N,5,,"vp('Lp', vg('Lp')+1)",,Liczba porz¥dkowa wiersza wykazu (max 14 cyfr),,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\02.F_2\,.,D,10,,"iif(!empty(ctod(KD->D_WYST)),KD->D_WYST,KD->DATA)",,"Data nabycia/wytworzenia ˜rodka trwaˆego w formacie RRRR-MM-DD (np. ""2026-05-15"")",,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\03.F_3\,.,D,10,,KD->DATA,,"Data nabycia warto˜ci niematerialnej i prawnej lub zakoäczenia prac rozwojowych zaliczanych do warto˜ci niematerialnych i prawnych w formacie RRRR-MM-DD (np. ""2026-05-15"")",,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\3.EWP\Wiersz\04.F_4\,.,Z,0,,"KD->RD + "" "" + KD->NDK",,"Data przyj©cia ˜rodka trwaˆego lub warto˜ci niematerialnej i prawnej do u¾ywania w formacie RRRR-MM-DD (np. ""2026-05-15"")",,,,,,,,0,2026.03.29 12:00:00
